Start	End	Direction
hsa:2099	hsa:2100	0
hsa:2099	hsa:595	1
hsa:2100	hsa:595	1
hsa:2099	hsa:4609	1
hsa:2100	hsa:4609	1
hsa:54361	hsa:7471	0
hsa:5241	hsa:54361	1
hsa:5241	hsa:7471	1
hsa:5241	hsa:8600	1
hsa:2246	hsa:2247	0
hsa:2246	hsa:2248	0
hsa:2246	hsa:2249	0
hsa:2246	hsa:2250	0
hsa:2246	hsa:2251	0
hsa:2246	hsa:2252	0
hsa:2246	hsa:2253	0
hsa:2246	hsa:2254	0
hsa:2246	hsa:2255	0
hsa:2246	hsa:26281	0
hsa:2246	hsa:26291	0
hsa:2246	hsa:27006	0
hsa:2246	hsa:8074	0
hsa:2246	hsa:8817	0
hsa:2246	hsa:8822	0
hsa:2246	hsa:8823	0
hsa:2246	hsa:9965	0
hsa:2247	hsa:2248	0
hsa:2247	hsa:2249	0
hsa:2247	hsa:2250	0
hsa:2247	hsa:2251	0
hsa:2247	hsa:2252	0
hsa:2247	hsa:2253	0
hsa:2247	hsa:2254	0
hsa:2247	hsa:2255	0
hsa:2247	hsa:26281	0
hsa:2247	hsa:26291	0
hsa:2247	hsa:27006	0
hsa:2247	hsa:8074	0
hsa:2247	hsa:8817	0
hsa:2247	hsa:8822	0
hsa:2247	hsa:8823	0
hsa:2247	hsa:9965	0
hsa:2248	hsa:2249	0
hsa:2248	hsa:2250	0
hsa:2248	hsa:2251	0
hsa:2248	hsa:2252	0
hsa:2248	hsa:2253	0
hsa:2248	hsa:2254	0
hsa:2248	hsa:2255	0
hsa:2248	hsa:26281	0
hsa:2248	hsa:26291	0
hsa:2248	hsa:27006	0
hsa:2248	hsa:8074	0
hsa:2248	hsa:8817	0
hsa:2248	hsa:8822	0
hsa:2248	hsa:8823	0
hsa:2248	hsa:9965	0
hsa:2249	hsa:2250	0
hsa:2249	hsa:2251	0
hsa:2249	hsa:2252	0
hsa:2249	hsa:2253	0
hsa:2249	hsa:2254	0
hsa:2249	hsa:2255	0
hsa:2249	hsa:26281	0
hsa:2249	hsa:26291	0
hsa:2249	hsa:27006	0
hsa:2249	hsa:8074	0
hsa:2249	hsa:8817	0
hsa:2249	hsa:8822	0
hsa:2249	hsa:8823	0
hsa:2249	hsa:9965	0
hsa:2250	hsa:2251	0
hsa:2250	hsa:2252	0
hsa:2250	hsa:2253	0
hsa:2250	hsa:2254	0
hsa:2250	hsa:2255	0
hsa:2250	hsa:26281	0
hsa:2250	hsa:26291	0
hsa:2250	hsa:27006	0
hsa:2250	hsa:8074	0
hsa:2250	hsa:8817	0
hsa:2250	hsa:8822	0
hsa:2250	hsa:8823	0
hsa:2250	hsa:9965	0
hsa:2251	hsa:2252	0
hsa:2251	hsa:2253	0
hsa:2251	hsa:2254	0
hsa:2251	hsa:2255	0
hsa:2251	hsa:26281	0
hsa:2251	hsa:26291	0
hsa:2251	hsa:27006	0
hsa:2251	hsa:8074	0
hsa:2251	hsa:8817	0
hsa:2251	hsa:8822	0
hsa:2251	hsa:8823	0
hsa:2251	hsa:9965	0
hsa:2252	hsa:2253	0
hsa:2252	hsa:2254	0
hsa:2252	hsa:2255	0
hsa:2252	hsa:26281	0
hsa:2252	hsa:26291	0
hsa:2252	hsa:27006	0
hsa:2252	hsa:8074	0
hsa:2252	hsa:8817	0
hsa:2252	hsa:8822	0
hsa:2252	hsa:8823	0
hsa:2252	hsa:9965	0
hsa:2253	hsa:2254	0
hsa:2253	hsa:2255	0
hsa:2253	hsa:26281	0
hsa:2253	hsa:26291	0
hsa:2253	hsa:27006	0
hsa:2253	hsa:8074	0
hsa:2253	hsa:8817	0
hsa:2253	hsa:8822	0
hsa:2253	hsa:8823	0
hsa:2253	hsa:9965	0
hsa:2254	hsa:2255	0
hsa:2254	hsa:26281	0
hsa:2254	hsa:26291	0
hsa:2254	hsa:27006	0
hsa:2254	hsa:8074	0
hsa:2254	hsa:8817	0
hsa:2254	hsa:8822	0
hsa:2254	hsa:8823	0
hsa:2254	hsa:9965	0
hsa:2255	hsa:26281	0
hsa:2255	hsa:26291	0
hsa:2255	hsa:27006	0
hsa:2255	hsa:8074	0
hsa:2255	hsa:8817	0
hsa:2255	hsa:8822	0
hsa:2255	hsa:8823	0
hsa:2255	hsa:9965	0
hsa:26281	hsa:26291	0
hsa:26281	hsa:27006	0
hsa:26281	hsa:8074	0
hsa:26281	hsa:8817	0
hsa:26281	hsa:8822	0
hsa:26281	hsa:8823	0
hsa:26281	hsa:9965	0
hsa:26291	hsa:27006	0
hsa:26291	hsa:8074	0
hsa:26291	hsa:8817	0
hsa:26291	hsa:8822	0
hsa:26291	hsa:8823	0
hsa:26291	hsa:9965	0
hsa:27006	hsa:8074	0
hsa:27006	hsa:8817	0
hsa:27006	hsa:8822	0
hsa:27006	hsa:8823	0
hsa:27006	hsa:9965	0
hsa:8074	hsa:8817	0
hsa:8074	hsa:8822	0
hsa:8074	hsa:8823	0
hsa:8074	hsa:9965	0
hsa:8817	hsa:8822	0
hsa:8817	hsa:8823	0
hsa:8817	hsa:9965	0
hsa:8822	hsa:8823	0
hsa:8822	hsa:9965	0
hsa:8823	hsa:9965	0
hsa:2246	hsa:2260	1
hsa:2247	hsa:2260	1
hsa:2248	hsa:2260	1
hsa:2249	hsa:2260	1
hsa:2250	hsa:2260	1
hsa:2251	hsa:2260	1
hsa:2252	hsa:2260	1
hsa:2253	hsa:2260	1
hsa:2254	hsa:2260	1
hsa:2255	hsa:2260	1
hsa:26281	hsa:2260	1
hsa:26291	hsa:2260	1
