Start	End	Direction
1	10321	0
2	259	0
2	348	0
2	351	0
2	354	0
2	567	0
2	1508	0
2	1990	0
2	3309	0
2	3553	0
2	3586	0
2	3931	0
2	3952	0
2	4035	0
2	4803	0
2	5047	0
2	7045	0
2	8728	0
2	9510	0
2	10944	0
2	55729	0
9	8260	0
12	351	0
12	354	0
12	1215	0
12	1504	0
12	1506	0
12	1511	0
12	1990	0
12	1991	0
12	2064	0
12	2153	0
12	3817	0
12	4035	0
12	4485	0
12	5422	0
12	64215	0
14	51497	0
15	7534	0
18	7915	0
19	335	0
19	6645	0
19	8772	0
20	55755	0
22	2235	0
23	3692	0
24	1258	0
25	27	0
25	472	0
25	613	0
25	718	0
25	867	0
25	1501	0
25	2048	0
25	2547	0
25	2876	0
25	2885	0
25	3055	0
25	3636	0
25	3716	0
25	4193	0
25	4690	0
25	4914	0
25	5062	0
25	5295	0
25	5335	0
25	5591	0
25	5829	0
25	5883	0
25	5901	0
25	5921	0
25	5925	0
25	5989	0
25	6091	0
25	6098	0
25	6549	0
25	6714	0
25	6764	0
25	7157	0
25	7161	0
25	7275	0
25	7535	0
25	8751	0
25	8936	0
25	9051	0
25	9564	0
25	9610	0
25	10006	0
25	10152	0
25	10580	0
25	11183	0
25	23385	0
25	23616	0
25	51466	0
25	55824	0
25	91746	0
26	1785	0
27	613	0
27	847	0
27	1398	0
27	2048	0
27	2876	0
27	3055	0
31	672	0
31	1114	0
39	1045	0
40	41	0
40	9311	0
43	351	0
43	1282	0
43	1939	0
43	8292	0
43	284217	0
49	5104	0
49	7783	0
51	6342	0
52	1969	0
52	2047	0
52	2048	0
52	7535	0
52	51460	0
52	54874	0
52	55052	0
54	1959	0
54	2239	0
54	5601	0
54	6118	0
54	7704	0
54	8743	0
54	9141	0
54	9410	0
54	54978	0
58	1072	0
58	1756	0
58	1773	0
58	2638	0
58	2934	0
58	4632	0
58	5216	0
58	5578	0
58	5879	0
58	6525	0
58	6624	0
58	6876	0
58	7094	0
58	7114	0
58	7187	0
58	9468	0
58	10575	0
58	22948	0
59	1072	0
59	1773	0
59	2638	0
59	4632	0
59	7114	0
59	9468	0
59	10575	0
59	22948	0
60	70	0
60	71	0
60	1072	0
60	1073	0
60	2010	0
60	2314	0
60	2934	0
60	4093	0
60	4687	0
60	4892	0
60	5027	0
60	5201	0
60	5216	0
60	5217	0
60	5337	0
60	5338	0
60	5764	0
60	5879	0
60	5880	0
60	6336	0
60	6597	0
60	6709	0
60	7168	0
60	7169	0
60	7170	0
60	7430	0
60	7447	0
60	8655	0
60	8904	0
60	11034	0
60	23214	0
60	25932	0
60	55729	0
60	83988	0
60	131034	0
60	221184	0
70	81	0
70	283	0
70	1072	0
70	1756	0
70	2039	0
70	2638	0
70	3315	0
70	3927	0
70	4638	0
70	5339	0
70	5581	0
70	5756	0
70	6624	0
70	7094	0
70	7414	0
70	7430	0
70	7454	0
70	7456	0
70	8655	0
70	10097	0
70	23224	0
70	23345	0
70	51660	0
70	60312	0
70	84687	0
70	85477	0
70	137735	0
71	308	0
71	1072	0
71	1073	0
71	1773	0
71	3692	0
71	4640	0
71	5217	0
71	5800	0
71	5829	0
71	6456	0
71	6487	0
71	7094	0
71	7114	0
71	7414	0
71	8655	0
71	8936	0
71	10134	0
71	11034	0
71	11098	0
71	55729	0
81	135	0
81	525	0
81	818	0
81	1308	0
81	2934	0
81	3688	0
81	4703	0
81	9124	0
81	9223	0
81	9351	0
81	9712	0
81	10612	0
81	51778	0
81	57554	0
81	58529	0
86	396	0
86	2130	0
86	4609	0
86	5430	0
86	6597	0
86	9031	0
87	135	0
87	815	0
87	1308	0
87	1495	0
87	2203	0
87	2903	0
87	4110	0
87	5585	0
87	5834	0
87	7273	0
87	7518	0
87	7791	0
87	8048	0
87	8851	0
87	8941	0
87	9124	0
87	9499	0
87	10755	0
87	26136	0
87	51778	0
87	58529	0
87	117178	0
87	125950	0
88	89	0
88	135	0
88	1739	0
88	1742	0
88	2904	0
88	3739	0
88	3741	0
88	5585	0
88	6401	0
88	8038	0
88	9124	0
88	22142	0
88	23022	0
88	27185	0
88	51778	0
88	58529	0
88	84665	0
88	117178	0
88	125950	0
89	135	0
89	84665	0
90	91	0
90	650	0
90	655	0
90	2022	0
90	2339	0
90	3547	0
90	3624	0
90	3625	0
90	3626	0
90	4086	0
90	4090	0
90	4093	0
90	8200	0
91	92	0
91	93	0
91	3547	0
91	3624	0
91	3625	0
91	3626	0
91	4089	0
91	4092	0
91	6642	0
91	6997	0
91	9392	0
92	650	0
92	654	0
92	655	0
92	2022	0
92	2661	0
92	3547	0
92	3624	0
92	3625	0
92	3626	0
92	7049	0
92	8200	0
93	655	0
93	2660	0
93	3547	0
93	3624	0
93	3625	0
93	3626	0
93	6642	0
93	6643	0
93	8200	0
93	9392	0
93	10220	0
94	7040	0
94	7048	0
94	9392	0
95	7265	0
100	134	0
100	135	0
100	1803	0
100	1812	0
100	2885	0
100	2908	0
102	1943	0
103	7514	0
107	108	0
108	111	0
108	2778	0
111	2770	0
111	2778	0
111	5578	0
111	5590	0
111	5997	0
112	1139	0
116	117	0
116	6344	0
116	6469	0
116	7434	0
118	119	0
118	801	0
118	3398	0
118	6708	0
118	6709	0
118	6710	0
118	10808	0
119	801	0
119	2534	0
119	6709	0
128	1107	0
133	1906	0
133	3075	0
133	4880	0
133	11318	0
134	1812	0
134	2037	0
134	2771	0
134	2775	0
134	2781	0
134	2911	0
134	5028	0
135	1813	0
142	596	0
142	836	0
142	1026	0
142	1058	0
142	1059	0
142	4605	0
142	4790	0
142	5111	0
142	5422	0
142	5451	0
142	5970	0
142	6189	0
142	6256	0
142	7157	0
142	7515	0
142	9184	0
142	10038	0
142	10039	0
142	10432	0
142	23090	0
142	23649	0
142	54840	0
143	9961	0
147	1173	0
147	2767	0
147	6295	0
148	84687	0
150	153	0
150	1967	0
150	2770	0
150	2775	0
150	7534	0
151	1967	0
151	2771	0
151	7534	0
152	1967	0
152	2775	0
152	7534	0
153	408	0
153	1742	0
153	2885	0
153	10755	0
154	407	0
154	1967	0
154	2767	0
154	2769	0
154	2870	0
154	2885	0
154	3763	0
154	3765	0
154	4985	0
154	5578	0
154	9351	0
154	9368	0
154	9495	0
154	9630	0
155	2778	0
155	6714	0
156	408	0
156	857	0
156	1233	0
156	2492	0
156	2776	0
156	5037	0
156	5082	0
156	5132	0
156	5579	0
156	5957	0
156	6010	0
156	6714	0
156	9815	0
156	23413	0
156	28964	0
157	1233	0
157	7852	0
157	28964	0
160	274	0
160	1175	0
160	2060	0
160	2690	0
160	3092	0
160	4093	0
160	6016	0
160	6464	0
160	7913	0
160	8301	0
160	9685	0
160	22841	0
160	84258	0
160	114034	0
161	163	0
161	2060	0
161	3064	0
161	4086	0
161	6464	0
162	164	0
162	375	0
162	381	0
162	382	0
162	409	0
162	699	0
162	701	0
162	1213	0
162	4087	0
162	10053	0
162	23523	0
162	55729	0
162	63971	0
163	701	0
163	1173	0
163	1175	0
163	4201	0
163	4292	0
163	7046	0
163	8907	0
163	9550	0
163	9685	0
163	9729	0
163	9883	0
163	10053	0
163	26119	0
163	26150	0
163	27229	0
163	53371	0
163	54386	0
163	54855	0
163	55145	0
163	55707	0
163	79132	0
164	375	0
164	1174	0
164	1213	0
164	4130	0
164	6710	0
164	8905	0
164	9135	0
164	9685	0
164	10053	0
164	11276	0
164	54812	0
164	57473	0
164	63971	0
164	92737	0
165	6929	0
166	367	0
166	2960	0
166	3146	0
166	4990	0
166	5970	0
166	6142	0
166	6354	0
166	6457	0
166	6495	0
166	6496	0
166	9627	0
166	10736	0
166	11337	0
166	51003	0
166	51651	0
174	1234	0
174	9905	0
175	3482	0
176	1404	0
176	2192	0
176	2199	0
176	7130	0
176	7143	0
177	3146	0
177	6271	0
177	6283	0
177	6285	0
177	6286	0
177	55140	0
181	4159	0
181	4160	0
181	4161	0
181	51738	0
182	4242	0
182	4301	0
182	4851	0
182	4853	0
182	4854	0
183	185	0
183	186	0
183	2130	0
183	4142	0
183	4224	0
183	5553	0
183	23549	0
185	624	0
185	3717	0
185	5868	0
186	7704	0
186	57509	0
187	8862	0
189	9627	0
190	367	0
190	6720	0
190	9318	0
196	405	0
196	406	0
196	904	0
196	2099	0
196	2963	0
196	3320	0
196	4738	0
196	5925	0
196	5970	0
196	6597	0
196	6667	0
196	6908	0
196	7025	0
196	7514	0
196	7818	0
196	8204	0
196	8648	0
196	9049	0
196	10728	0
197	1634	0
197	3643	0
197	22800	0
197	26232	0
203	2274	0
207	673	0
207	1147	0
207	1326	0
