Start	End	Direction
10971	572	-1
10971	572	1
10971	572	0
10971	581	0
10971	596	1
10971	995	0
10971	995	0
10971	2309	1
10971	2309	0
10971	10014	0
10971	9734	0
10971	2308	-1
3604	8744	0
3604	7186	0
7128	816	0
7128	1843	-1
7128	7124	0
7128	7186	-1
7128	7189	-1
5345	3936	-1
4961	397	1
4961	2932	1
4961	4137	1
10152	56259	0
10152	8544	0
10152	5879	0
10152	8936	0
10152	10163	0
10152	10810	0
25	1020	1
25	1398	-1
25	2885	0
25	5599	1
25	1029	1
25	7161	1
25	5829	0
25	5888	-1
25	5883	1
25	5925	0
25	6464	0
25	7410	1
25	1796	1
25	7158	1
427	51761	1
427	820	1
427	10487	0
427	2588	1
427	23566	0
427	5879	0
427	6609	0
427	8877	0
1145	808	1
9457	1390	0
71	87	0
71	317	1
71	7094	0
71	8936	0
71	10163	0
71	10810	0
87	317	0
87	6709	0
87	7094	0
87	7414	0
87	280979	1
87	7791	0
8202	10498	0
8202	1387	0
8202	2033	0
8202	6256	0
8038	1950	1
4303	355	1
185	0	1
185	2776	0
185	3716	1
186	5544	0
186	2782	0
186	2767	0
186	2792	0
186	4683	1
186	6464	0
186	183	0
196	405	0
196	3320	0
196	9049	0
11214	387	1
11214	5576	0
207	4303	-1
207	572	-1
207	572	1
207	842	-1
207	842	1
207	1385	1
207	2309	1
207	5871	1
207	2908	1
207	2931	-1
207	2932	-1
207	2932	1
207	2792	1
207	3320	1
207	3320	0
207	3551	1
207	1147	1
207	8517	1
207	4193	1
207	4214	1
207	4293	1
207	2475	1
207	4846	1
207	5058	1
207	5894	-1
207	5894	1
207	5879	1
207	6647	-1
207	6774	1
207	7015	1
207	7248	1
207	280979	1
207	2308	-1
207	8826	0
207	4216	1
207	4294	1
207	4294	1
207	7158	-1
207	4296	1
226	1509	0
657	1386	1
657	659	0
657	27302	0
657	650	0
657	652	0
657	653	0
657	655	0
657	658	0
353	5562	1
5562	31	1
5562	1026	1
4878	2983	1
317	51761	0
317	596	0
317	598	0
317	842	1
317	842	0
317	54205	1
317	54205	0
317	57591	1
317	5829	0
317	7094	0
317	8936	0
317	10163	0
317	10810	0
324	8312	1
324	8312	0
324	999	0
324	1487	0
324	1499	-1
324	1499	0
324	23566	0
324	2931	0
324	4088	0
324	4089	0
324	1495	0
328	4830	0
328	8125	0
333	7314	1
8743	8797	0
8743	8795	0
8742	8718	0
7804	1600	0
375	5581	1
375	5333	1
392	5578	0
392	387	1
392	9475	1
392	11113	1
392	5305	1
393	387	1
394	29984	-1
394	387	1
395	387	1
9138	392	1
9138	387	1
9138	9479	0
9826	387	1
7984	387	1
405	196	1
405	3091	0
10097	10096	0
10097	3578	0
10097	280979	1
10096	1026	0
10096	902	0
4217	1616	0
4217	5599	1
4217	6416	1
4217	5606	1
4217	5608	1
4217	5609	1
4217	7186	0
1386	3725	1
1386	3725	0
1386	1482	0
1386	2626	0
1386	3458	1
1386	3558	1
1386	3565	1
1386	11181	0
1386	0	1
1386	7193	1
472	25	1
472	545	0
472	672	1
472	675	1
472	1111	1
472	11200	1
472	2177	1
472	4683	1
472	4790	1
472	7157	-1
472	7157	1
51761	820	-1
51761	820	1
51761	842	1
545	472	1
545	11277	0
545	672	1
545	1111	1
545	11200	1
545	2177	1
545	7157	1
545	1263	1
545	5884	1
551	0	1
8312	1499	-1
8312	1499	0
8312	8215	0
8312	2931	1
8312	4214	1
8312	1495	0
8312	64682	0
8312	4216	1
8312	22881	0
154	175	0
154	0	1
154	0	1
